#TIME	REQUESTED	python	slurm_script	sps	tclsh8.6
1	10	0	0	0.0104167	0
2	10	0.5625	0	0.0208333	0
3	10	0.523438	0	0.0243056	0
4	10	0.416667	0	0.0240385	0
5	10	0.43125	0	0.0234375	0
6	10	0.616319	0	0.0246711	0
7	10	0.583333	0	0.0241477	0
8	10	0.544271	0	0.025	0
9	10	0.53125	0	0.0256696	0
10	10	0.538542	0	0.0262097	0
11	10	0.529412	0	0.025	0
12	10	0.538007	0	0.0263158	0
13	10	0.530469	0	0.0259146	0
14	10	0.552326	0	0.0262784	0
15	10	0.579484	0	0.0265957	0
16	10	0.573342	0	0.02625	0
17	10	0.575721	0	0.026533	0
18	10	0.560227	0	0.0267857	0
19	10	0.556573	0	0.0264831	0
20	10	0.570565	0	0.0262897	0
21	10	1.44792	0	0.0260417	0
22	10	1.33333	0	0.0262681	0
23	10	1.21528	0	0.0264757	0
24	10	1.17969	0	0.0266667	0
25	10	1.15417	0	0.0264423	0
26	10	1.13889	0	0.0270062	0
27	10	1.04545	0	0.0268382	0
28	10	0.97	0	0.0266335	0
29	10	1.00446	0	0.0267857	0
30	10	1.07056	0	0.0265957	0
31	10	1.00507	0	0.02625	0
32	10	1.00937	0	0.0260922	0
33	10	1.01453	0	0.026533	0
34	10	1.01019	0	0.0263761	0
35	10	0.95875	0	0.0262721	0
36	10	0.935731	0	0.0264009	0
37	10	0.93471	0	0.0262605	0
38	10	0.933263	0	0.0263832	0
39	10	0.936996	0	0.0265	0
40	10	0.942788	0	0.0263672	0
41	10	0.929228	0	0.0267176	0
42	10	0.900174	0	0.0263889	0
43	10	0.890417	0	0.0264946	0
44	10	0.873397	0	0.0265957	0
45	10	0.878086	0	0.0264757	0
46	10	0.869792	0	0.0265731	0
47	10	0.868175	0	0.0266667	0
48	10	0.867708	0	0.0265523	0
49	10	0.871304	0	0.0266426	0
50	10	0.859375	0	0.026533	0
51	10	0.833438	0	0.0266488	0
52	10	0.832524	0	0.0265437	0
53	10	0.82842	0	0.0266272	0
54	10	0.825975	0	0.0267078	0
55	10	0.822266	0	0.0266071	0
56	10	0.823913	0	0.0265098	0
57	10	0.827066	0	0.026761	0
58	10	0.825307	0	0.0265203	0
59	10	0.81525	0	0.0264295	0
60	10	0.804443	0	0.0266688	0
61	10	0.798903	0	0.0265786	0
62	10	0.802938	0	0.0266497	0
63	10	0.798814	0	0.0265625	0
64	10	0.795089	0	0.0266318	0
65	10	0.798951	0	0.026699	0
66	10	0.803296	0	0.0266148	0
67	10	0.782884	0	0.0261863	0
68	10	0.77484	0	0.0262557	0
69	10	0.772209	0	0.0263232	0
70	10	0.772955	0	0.0263889	0
71	10	0.767992	0	0.0263158	0
72	10	0.769717	0	0.0265152	0
73	10	0.765625	0	0.0263298	0
74	10	0.765714	0	0.0262605	0
75	10	0.769312	0	0.0264523	0
76	10	0.768128	0	0.0263832	0
77	10	0.764776	0	0.0264423	0
78	10	0.764539	0	0.026375	0
79	10	0.765954	0	0.0265563	0
80	10	0.767811	0	0.0264893	0
81	10	0.772321	0	0.0265444	0
82	10	0.772969	0	0.0264971	0
83	10	0.777248	0	0.0264333	0
84	10	0.781553	0	0.026487	0
85	10	0.785586	0	0.0264246	0
86	10	0.789505	0	0.0265909	0
87	10	0.793459	0	0.0264164	0
88	10	0.797162	0	0.0265792	0
89	10	0.797438	0	0.0264254	0
90	10	0.800972	0	0.0264757	0
91	10	0.804413	0	0.0265249	0
92	10	0.8079	0	0.0264668	0
93	10	0.811298	0	0.0264099	0
94	10	0.814478	0	0.0264583	0
95	10	0.817578	0	0.0266089	0
96	10	0	0	0.0265523	0
97	10	0.734375	0	0.0265979	0
98	10	0.5	0	0.0265575	0
99	10	0.538194	0	0.0265032	0
100	10	0.8125	0	0.0265478	0
101	10	0.74375	0	0.0265916	0
102	10	0.664931	0	0.0266346	0
103	10	0.623512	0	0.0265816	0
104	10	0.534598	0	0.026306	0
105	10	0.524194	0	0.0263499	0
106	10	0.547794	0	0.0263013	0
107	10	0.548986	0	0.0263445	0
108	10	0.546094	0	0.0263869	0
109	10	0.581395	0	0.0263393	0
110	10	0.586957	0	0.026381	0
111	10	0.591199	0	0.0263343	0
112	10	0.579928	0	0.0264624	0
113	10	0.563058	0	0.026343	0
114	10	0.555614	0	0.0263832	0
115	10	0.600806	0	0.0263381	0
116	10	0.622115	0	0.0262937	0
117	10	0.642004	0	0.0264167	0
118	10	0.654049	0	0.0263724	0
119	10	0.666385	0	0.0264108	0
120	10	0.659856	0	0.0263799	0
121	10	0.674383	0	0.0264175	0
122	10	0.680432	0	0.0263747	0
