#TIME	REQUESTED	python	slurm_script	sps	tclsh8.6
1	10.000000	0	0.00292969	0.00195312	0.00390625
2	10.000000	0.0527344	0.00292969	0.00195312	0
3	10.000000	0.0878906	0.00292969	0.00195312	0
4	10.000000	0.0888672	0.00292969	0.00195312	0
5	10.000000	0.0927734	0.00292969	0.00195312	0
6	10.000000	0.110352	0.00292969	0.00195312	0
7	10.000000	0.111328	0.00292969	0.00195312	0
8	10.000000	0.117188	0.00292969	0.00195312	0
9	10.000000	0.154297	0.00292969	0.00195312	0
10	10.000000	0.194336	0.00292969	0.00195312	0
11	10.000000	0.410156	0.00292969	0.00195312	0
12	10.000000	0.505859	0.00292969	0.00195312	0
13	10.000000	0.522461	0.00292969	0.00195312	0
14	10.000000	0.53125	0.00292969	0.00195312	0
15	10.000000	0.548828	0.00292969	0.00195312	0
16	10.000000	0.575195	0.00292969	0.00195312	0
17	10.000000	0.595703	0.00292969	0.00195312	0
18	10.000000	0.620117	0.00292969	0.00195312	0
19	10.000000	0.643555	0.00292969	0.00195312	0
20	10.000000	0.645508	0.00292969	0.00195312	0
21	10.000000	0.0654297	0.00292969	0.00195312	0
22	10.000000	0.102539	0.00292969	0.00195312	0
23	10.000000	0.155273	0.00292969	0.00195312	0
24	10.000000	0.511719	0.00292969	0.00195312	0
25	10.000000	0.539062	0.00292969	0.00195312	0
26	10.000000	0.59082	0.00292969	0.00195312	0
27	10.000000	0.651367	0.00292969	0.00195312	0
28	10.000000	0.730831	0.00292969	0.00195312	0
29	10.000000	0.850563	0.00292969	0.00195312	0
30	10.000000	0.880836	0.00292969	0.00195312	0
31	10.000000	1.09966	0.00292969	0.00195312	0
32	10.000000	2.37896	0.00292969	0.00195312	0
33	10.000000	3.65044	0.00292969	0.00195312	0
34	10.000000	4.60845	0.00292969	0.00195312	0
35	10.000000	4.61528	0.00292969	0.00195312	0
36	10.000000	4.61528	0.00292969	0.00195312	0
37	10.000000	4.61528	0.00292969	0.00195312	0
38	10.000000	4.61528	0.00292969	0.00195312	0
39	10.000000	4.61528	0.00292969	0.00195312	0
40	10.000000	4.61528	0.00292969	0.00195312	0
41	10.000000	4.61528	0.00292969	0.00195312	0
42	10.000000	4.61528	0.00292969	0.00195312	0
43	10.000000	4.61528	0.00292969	0.00195312	0
44	10.000000	4.61528	0.00292969	0.00195312	0
45	10.000000	4.61528	0.00292969	0.00195312	0
46	10.000000	4.61528	0.00292969	0.00195312	0
47	10.000000	4.61528	0.00292969	0.00195312	0
48	10.000000	4.61528	0.00292969	0.00195312	0
49	10.000000	4.61528	0.00292969	0.00195312	0
50	10.000000	4.61528	0.00292969	0.00195312	0
51	10.000000	4.61528	0.00292969	0.00195312	0
52	10.000000	4.61528	0.00292969	0.00195312	0
53	10.000000	4.61528	0.00292969	0.00195312	0
54	10.000000	4.61528	0.00292969	0.00195312	0
55	10.000000	4.61528	0.00292969	0.00195312	0
56	10.000000	4.61528	0.00292969	0.00195312	0
57	10.000000	4.61528	0.00292969	0.00195312	0
58	10.000000	4.61528	0.00292969	0.00195312	0
59	10.000000	4.61528	0.00292969	0.00195312	0
60	10.000000	4.61528	0.00292969	0.00195312	0
61	10.000000	4.61528	0.00292969	0.00195312	0
